72.00,0.49,352
72.00,0.49,391
72.00,0.49,437
72.00,-0.99,463
72.00,-0.99,455
72.00,-0.99,431
72.00,-0.99,398
72.00,-0.99,355
72.00,-0.99,319
72.00,-0.99,294
72.00,-0.99,279
72.00,-0.99,283
72.00,-0.99,293
72.00,-0.99,305
72.00,-0.99,313
72.00,-0.99,309
72.00,-0.99,310
72.00,-0.99,307
72.00,-0.99,300
72.00,-0.99,301
72.00,-0.99,301
72.00,-0.99,299
72.00,-0.99,302
72.00,-0.99,314
72.00,-0.99,315
72.00,-0.99,318
72.00,-0.99,313
72.00,-0.99,304
72.00,-0.99,293
72.00,-0.99,282
72.00,-0.99,295
72.00,-0.99,305
72.00,-0.99,309
72.00,-0.99,310
72.00,-0.99,310
72.00,-0.99,310
72.00,-0.99,306
72.00,-0.99,301
72.00,-0.99,288
72.00,-0.99,293
72.00,-0.99,310
72.00,-0.99,323
72.00,-0.99,316
72.00,-0.99,316
72.00,-0.99,313
72.00,-0.99,312
72.00,-0.99,328
72.00,-0.99,335
72.00,-0.99,324
72.00,-0.99,315
72.00,-0.99,316
72.00,-0.99,315
72.00,-0.99,315
72.00,-0.99,317
72.00,-0.99,324
72.00,-0.99,328
72.00,-0.99,335
72.00,-0.99,326
72.00,-0.99,322
72.00,-0.99,327
72.00,-0.99,332
72.00,-0.99,339
72.00,-0.99,339
72.00,-0.99,341
72.00,-0.99,348
72.00,-0.99,346
72.00,-0.99,341
72.00,-0.99,344
72.00,-0.99,343
72.00,-0.99,344
72.00,-0.99,350
72.00,-0.99,345
72.00,-0.99,339
72.00,-0.99,341
72.00,-0.99,353
72.00,-0.99,357
72.00,-0.99,356
72.00,-0.99,355
72.00,-0.99,354
72.00,-0.99,346
72.00,-0.99,348
72.00,-0.99,350
72.00,-0.99,352
72.00,-0.99,350
72.00,-0.99,341
72.00,-0.99,331
72.00,-0.99,322
72.00,-0.99,318
72.00,-0.99,310
72.00,-0.99,306
72.00,-0.99,308
72.00,-0.99,305
72.00,-0.99,307
72.00,-0.99,303
72.00,-0.99,308
72.00,-0.99,310
72.00,-0.99,297
72.00,-0.99,283
72.00,-0.99,287
72.00,-0.99,289
72.00,-0.99,287
72.00,-0.99,278
72.00,-0.99,279
72.00,-0.99,288
72.00,-0.99,299
72.00,-0.99,303
72.00,-0.99,303
72.00,-0.99,306
72.00,-0.99,304
72.00,-0.99,306
72.00,-0.99,304
72.00,-0.99,307
72.00,-0.99,305
72.00,-0.99,303
72.00,-0.99,297
72.00,-0.99,303
72.00,-0.99,302
72.00,-0.99,300
72.00,-0.99,298
72.00,-0.99,294
72.00,-0.99,287
72.00,-0.99,286
72.00,-0.99,296
72.00,-0.99,306
72.00,-0.99,301
72.00,-0.99,297
72.00,-0.99,302
72.00,-0.99,304
72.00,-0.99,306
72.00,-0.99,303
72.00,-0.99,305
72.00,-0.99,298
72.00,-0.99,298
72.00,-0.99,312
72.00,-0.99,319
72.00,-0.99,317
72.00,-0.99,314
72.00,-0.99,309
72.00,-0.99,312
72.00,-0.99,317
72.00,-0.99,305
72.00,-0.99,299
72.00,-0.99,302
72.00,-0.99,305
72.00,-0.99,304
72.00,-0.99,295
72.00,-0.99,306
72.00,-0.99,314
72.00,-0.99,308
72.00,-0.99,306
72.00,-0.99,304
72.00,-0.99,309
72.00,-0.99,312
72.00,-0.99,313
72.00,-0.99,309
72.00,-0.99,308
72.00,-0.99,308
72.00,-0.99,312
72.00,-0.99,307
72.00,-0.99,300
