72.00,1.11,63
72.00,1.11,94
72.00,1.11,114
72.00,1.11,123
72.00,1.11,123
72.00,1.11,114
72.00,1.11,99
72.00,1.11,74
72.00,1.11,45
72.00,1.11,17
72.00,1.11,-3
72.00,1.11,-15
72.00,1.11,-19
72.00,1.11,-16
72.00,1.11,-3
72.00,1.11,21
72.00,1.11,50
72.00,1.09,74
72.00,1.09,88
72.00,1.09,92
72.00,1.09,84
72.00,1.09,74
72.00,1.09,64
72.00,1.09,52
72.00,1.09,49
72.00,1.15,75
72.00,1.15,145
72.00,1.15,228
72.00,1.15,262
72.00,1.15,207
72.00,1.15,81
72.00,1.15,-58
72.00,1.15,-173
72.00,1.15,-244
72.00,1.15,-261
72.00,1.15,-225
72.00,1.15,-149
72.00,1.15,-47
72.00,1.12,65
72.00,1.12,168
72.00,1.12,242
72.00,1.12,278
72.00,1.12,279
72.00,1.12,250
72.00,1.12,195
72.00,1.12,123
72.00,1.12,48
72.00,1.12,-16
72.00,1.12,-62
72.00,1.12,-85
72.00,1.12,-78
72.00,1.12,-45
72.00,1.12,-6
72.00,1.12,32
72.00,1.10,74
72.00,1.10,114
72.00,1.10,141
72.00,1.10,152
72.00,1.10,151
72.00,1.10,135
72.00,1.10,98
72.00,1.10,53
72.00,1.10,18
72.00,1.10,-3
72.00,1.10,-12
72.00,1.10,-17
72.00,1.10,-19
72.00,1.10,-14
72.00,1.10,-3
72.00,1.10,8
72.00,1.10,11
72.00,1.10,12
72.00,1.10,22
72.00,1.10,42
72.00,1.10,59
72.00,1.07,65
72.00,1.07,61
72.00,1.07,62
72.00,1.07,72
72.00,1.07,82
72.00,1.07,91
72.00,1.07,99
72.00,1.07,101
72.00,1.07,92
72.00,1.07,75
72.00,1.07,59
72.00,1.07,49
72.00,1.07,41
72.00,1.07,32
72.00,1.07,22
72.00,1.07,17
72.00,1.07,21
72.00,1.07,32
72.00,1.07,46
72.00,1.08,62
72.00,1.08,73
72.00,1.08,71
72.00,1.08,73
72.00,1.08,85
72.00,1.08,90
72.00,1.08,77
72.00,1.08,51
72.00,1.08,27
72.00,1.08,15
72.00,1.08,16
72.00,1.08,22
72.00,1.08,24
72.00,1.08,27
72.00,1.08,33
72.00,1.08,47
72.00,1.10,63
72.00,1.10,75
72.00,1.10,82
72.00,1.10,85
72.00,1.10,83
72.00,1.10,73
72.00,1.10,57
72.00,1.10,43
72.00,1.10,31
72.00,1.10,30
72.00,1.10,43
72.00,1.10,57
72.00,1.12,66
72.00,1.12,66
72.00,1.12,57
72.00,1.12,38
72.00,1.12,14
72.00,1.12,-3
72.00,1.12,-9
72.00,1.12,-3
72.00,1.12,15
72.00,1.12,40
72.00,1.14,65
72.00,1.14,83
72.00,1.14,91
72.00,1.14,93
72.00,1.14,99
72.00,1.14,117
72.00,1.14,156
72.00,1.14,208
72.00,1.14,232
72.00,1.14,186
72.00,1.14,79
72.00,1.14,-47
72.00,1.14,-152
72.00,1.14,-217
72.00,1.14,-240
72.00,1.14,-222
72.00,1.14,-160
72.00,1.14,-60
72.00,1.14,55
72.00,1.08,161
72.00,1.08,232
72.00,1.08,265
72.00,1.08,268
72.00,1.08,244
72.00,1.08,189
72.00,1.08,117
72.00,1.08,50
72.00,1.08,2
72.00,1.08,-30
72.00,1.08,-47
72.00,1.08,-48
72.00,1.08,-35
72.00,1.08,-11
72.00,1.08,13
72.00,1.08,38
72.00,1.10,69
72.00,1.10,102
72.00,1.10,127
72.00,1.10,141
72.00,1.10,142
72.00,1.10,124
72.00,1.10,88
72.00,1.10,48
72.00,1.10,17
72.00,1.10,-4
72.00,1.10,-14
72.00,1.10,-17
72.00,1.10,-18
72.00,1.10,-14
72.00,1.10,-8
72.00,1.10,-4
72.00,1.10,0
72.00,1.10,14
72.00,1.10,38
72.00,1.10,60
72.00,1.07,74
72.00,1.07,80
72.00,1.07,86
72.00,1.07,90
72.00,1.07,88
72.00,1.07,76
72.00,1.07,63
72.00,1.07,56
72.00,1.07,55
72.00,1.14,62
72.00,1.14,76
72.00,1.14,88
72.00,1.14,88
72.00,1.14,77
72.00,1.14,64
72.00,1.14,59
72.00,1.14,55
72.00,1.14,45
72.00,1.14,30
72.00,1.14,20
72.00,1.14,18
72.00,1.14,16
72.00,1.14,16
72.00,1.14,22
72.00,1.14,37
72.00,1.14,57
72.00,1.09,75
72.00,1.09,84
72.00,1.09,85
72.00,1.09,82
72.00,1.09,75
72.00,1.09,62
72.00,1.09,40
72.00,1.09,17
72.00,1.09,4
72.00,1.09,1
72.00,1.09,6
72.00,1.09,22
72.00,1.09,46
72.00,1.12,70
72.00,1.12,88
72.00,1.12,98
72.00,1.12,102
72.00,1.12,98
72.00,1.12,83
72.00,1.12,58
72.00,1.12,30
72.00,1.12,3
72.00,1.12,-19
72.00,1.12,-31
72.00,1.12,-27
72.00,1.12,-6
72.00,1.12,27
72.00,1.12,59
72.00,1.11,82
72.00,1.11,93
72.00,1.11,92
72.00,1.11,86
72.00,1.11,85
72.00,1.11,103
72.00,1.11,148
72.00,1.11,206
72.00,1.11,235
72.00,1.11,200
72.00,1.11,108
72.00,1.11,-10
72.00,1.11,-122
72.00,1.11,-201
72.00,1.11,-238
72.00,1.11,-236
72.00,1.11,-192
72.00,1.11,-106
72.00,1.11,3
72.00,1.08,115
72.00,1.08,214
72.00,1.08,280
72.00,1.08,303
72.00,1.08,284
72.00,1.08,233
72.00,1.08,158
72.00,1.08,72
72.00,1.08,0
72.00,1.08,-49
72.00,1.08,-76
72.00,1.08,-89
72.00,1.08,-87
72.00,1.08,-58
72.00,1.08,-5
72.00,1.08,60
72.00,1.10,118
72.00,1.10,155
