t,ecgI,ecgII,leadIII_f,aVR_f,aVL_f,aVF_f
0,1.4538099067998,47.7230254345961,46.2692155277963,-24.588417670698,-22.4077028104983,46.9961204811962
0.00213926623168253,7.11284395298117,-19.4525578847848,-26.5654018377659,6.16985696590179,16.8391228953735,-23.0089798612753
0.00427853246336507,11.2710103198239,-83.579704052154,-94.8507143719779,36.154346866165,53.0608623459009,-89.2152092120659
0.0064177986950476,12.7295723416003,-141.983107781876,-154.712680123476,64.6267677201379,83.7211262325384,-148.347893952676
0.00855706492673013,10.8820151264375,-192.882714449499,-203.764729575936,91.0003496615305,107.323372351187,-198.323722012717
0.0106963311584127,5.84295958932858,-235.575231122277,-241.418190711605,114.866135766474,123.630575150467,-238.496710916941
0.0128355973900952,-1.60012875009286,-270.359998054197,-268.759869304105,135.980063402145,133.579870277006,-269.559933679151
0.0149748636217777,-10.2032633430604,-298.269382062894,-288.066118719833,154.236322702977,138.931427688386,-293.167750391363
0.0171141298534603,-18.5933006891966,-320.712736593945,-302.119435904749,169.653018641571,141.763067607776,-311.416086249347
0.0192533960851428,-25.6163698820095,-339.144030265345,-313.527660383335,182.380200073677,143.955645250663,-326.33584532434
0.0213926623168253,-30.6100255502936,-354.825721140434,-324.215695590141,192.717873345364,146.802835019924,-339.520708365288
0.0235319285485079,-33.5247930277317,-368.711003588274,-335.186210560542,201.117898308003,150.830708766405,-351.948607074408
0.0256711947801904,-34.8711188751807,-381.428264826432,-346.557145951251,208.149691850806,155.843013538035,-363.992705388841
0.0278104610118729,-35.527496310074,-393.333840861726,-357.806344551652,214.4306685859,161.139424120789,-375.570092706689
0.0299497272435555,-36.4854772109293,-404.596511409534,-368.111034198605,220.540994310232,165.812778493838,-386.35377280407
0.032088993475238,-38.6097202301655,-415.28396662153,-376.674246391365,226.946843425848,169.0322630806,-395.979106506448
0.0342282597069205,-42.465332732141,-425.432728292511,-382.96739556037,233.949030512326,170.251031414114,-404.20006192644
0.0363675259386031,-48.2328405590495,-435.090226252893,-386.857385693844,241.661533405971,169.312272567397,-410.973805973368
0.0385067921702856,-55.7067771723191,-444.319485558613,-388.612708386294,250.013131365466,166.452965606987,-416.466096972453
0.0406460584019681,-64.359242082291,-453.164971762612,-388.805729680321,258.762106922452,162.223243799015,-420.985350721467
0.0427853246336507,-73.4448015041014,-461.598859729995,-388.154058225894,267.521830617048,157.354628360896,-424.876458977945
0.0449245908653332,-82.1274869747447,-469.486014166734,-387.358527191989,275.806750570739,152.615520108622,-428.422270679361
0.0470638570970157,-89.6187854838791,-476.603226708963,-386.984441225084,283.111006096421,148.682827870602,-431.793833967023
0.0492031233286983,-95.3176975557383,-482.719998153058,-387.40230059732,289.018847854398,146.042301520791,-435.061149375189
0.0513423895603808,-98.9355563661513,-487.709996476628,-388.774440110477,293.32277642139,144.919441872163,-438.242218293552
0.0534816557920633,-100.575227407799,-491.63740945652,-391.06218204872,296.106318432159,145.243477320461,-441.34979575262
0.0556209220237459,-100.72877085163,-494.766753489503,-394.037982637873,297.747762170567,146.654605893121,-444.402368063688
0.0577601882554284,-100.171137175237,-497.478509352924,-397.307372177687,298.82482326408,148.568117501225,-447.392940765305
0.0598994544871109,-99.7627161482064,-500.122108157023,-400.359392008817,299.942412152615,150.298337930305,-450.24075008292
0.0620387207187935,-100.216433412447,-502.877938040589,-402.661504628142,301.547185726518,151.222535607848,-452.769721334365
0.064177986950476,-101.909072712149,-505.703322043933,-403.794249331783,303.806197378041,150.942588309817,-454.748785687858
0.0663172531821585,-104.802978891605,-508.39304323086,-403.590064339254,306.598011061233,149.393542723825,-455.991553785057
0.0684565194138411,-108.49857676924,-510.717500914972,-402.218924145732,309.608038842106,146.860173688246,-456.468212530352
