96.00,0.87,44.32,363
96.00,0.87,43.96,363
96.00,0.87,42.35,363
96.00,0.87,40.64,363
96.00,0.87,37.22,363
96.00,0.87,34.73,363
96.00,0.87,35.61,363
96.00,0.87,40.04,363
96.00,0.87,43.81,363
96.00,0.87,46.02,363
96.00,0.87,47.10,363
96.00,0.87,47.88,363
96.00,0.87,47.64,363
96.00,0.87,47.74,363
96.00,0.87,48.35,363
96.00,0.87,48.80,363
96.00,0.87,48.58,363
96.00,0.87,47.34,363
96.00,0.87,46.17,363
96.00,0.87,45.04,363
96.00,0.87,45.84,363
96.00,0.87,49.13,363
96.00,0.87,52.33,363
96.00,0.87,54.95,363
96.00,0.87,55.23,363
96.00,0.87,54.36,363
96.00,0.87,52.10,363
96.00,0.87,49.37,363
96.00,0.87,47.11,363
96.00,0.87,46.00,363
96.00,0.87,45.19,363
96.00,0.87,44.87,363
96.00,0.87,44.09,363
96.00,0.87,45.15,363
96.00,0.87,46.19,363
96.00,0.87,46.14,363
96.00,0.87,46.10,363
96.00,0.87,44.99,363
96.00,0.87,44.18,363
96.00,0.87,42.51,363
96.00,0.87,39.40,363
96.00,0.87,37.67,363
96.00,0.87,38.03,363
96.00,0.87,38.29,363
96.00,0.87,38.21,363
96.00,0.87,39.24,363
96.00,0.87,41.60,363
96.00,0.87,42.79,363
96.00,0.87,41.50,363
96.00,0.87,39.74,363
96.00,0.87,37.92,363
96.00,0.87,36.59,363
96.00,0.87,34.54,363
96.00,0.87,33.04,363
96.00,0.87,33.03,363
96.00,0.87,33.29,363
96.00,0.87,32.67,363
96.00,0.87,33.30,363
96.00,0.87,36.73,363
96.00,0.87,43.83,363
96.00,0.87,54.68,363
96.00,0.87,70.98,363
96.00,0.87,91.24,363
in
96.00,0.72,111.44,363
96.00,0.72,125.37,363
96.00,0.72,131.48,363
96.00,0.72,131.08,363
96.00,0.72,125.66,363
96.00,0.72,114.94,363
96.00,0.72,100.37,363
96.00,0.72,85.14,363
96.00,0.72,70.51,363
96.00,0.72,59.57,363
96.00,0.72,53.20,363
96.00,0.72,49.91,363
96.00,0.72,48.85,363
96.00,0.72,49.70,363
96.00,0.72,50.32,363
96.00,0.72,49.97,363
96.00,0.72,48.89,363
96.00,0.72,45.14,363
96.00,0.72,40.51,363
96.00,0.72,36.59,363
96.00,0.72,36.43,363
96.00,0.72,37.66,363
96.00,0.72,39.65,363
96.00,0.72,40.82,363
96.00,0.72,40.06,363
96.00,0.72,38.15,363
96.00,0.72,36.22,363
96.00,0.72,36.16,363
96.00,0.72,37.74,363
96.00,0.72,38.35,363
96.00,0.72,38.25,363
96.00,0.72,38.19,363
96.00,0.72,37.33,363
96.00,0.72,36.43,363
96.00,0.72,35.23,363
96.00,0.72,36.52,363
96.00,0.72,39.62,363
96.00,0.72,42.70,363
96.00,0.72,43.32,363
96.00,0.72,41.88,363
96.00,0.72,40.29,363
96.00,0.72,40.21,363
96.00,0.72,40.70,363
96.00,0.72,40.78,363
96.00,0.72,38.95,363
96.00,0.72,37.34,363
96.00,0.72,37.79,363
96.00,0.72,38.66,363
96.00,0.72,40.10,363
96.00,0.72,42.77,363
96.00,0.72,46.35,363
96.00,0.72,49.50,363
96.00,0.72,51.25,363
96.00,0.72,51.18,363
96.00,0.72,49.24,363
96.00,0.72,46.75,363
96.00,0.72,44.38,363
96.00,0.72,43.74,363
96.00,0.72,44.35,363
96.00,0.72,45.34,363
96.00,0.72,46.87,363
96.00,0.72,49.33,363
96.00,0.72,51.68,363
96.00,0.72,52.57,363
96.00,0.72,51.88,363
96.00,0.72,50.83,363
96.00,0.72,51.69,363
96.00,0.72,53.93,363
96.00,0.72,55.03,363
96.00,0.72,55.02,363
96.00,0.72,54.75,363
96.00,0.72,54.54,363
96.00,0.72,54.13,363
96.00,0.72,55.17,363
96.00,0.72,55.94,363
96.00,0.72,57.58,363
96.00,0.72,59.85,363
96.00,0.72,61.78,363
96.00,0.72,62.38,363
96.00,0.72,61.74,363
96.00,0.72,61.00,363
96.00,0.72,62.35,363
96.00,0.72,65.23,363
96.00,0.72,66.52,363
96.00,0.72,65.84,363
96.00,0.72,64.53,363
96.00,0.72,63.85,363
96.00,0.72,64.43,363
96.00,0.72,65.66,363
96.00,0.72,68.73,363
96.00,0.72,71.23,363
96.00,0.72,72.25,363
96.00,0.72,71.64,363
96.00,0.72,70.12,363
96.00,0.72,67.38,363
96.00,0.72,63.23,363
96.00,0.72,60.19,363
96.00,0.72,59.33,363
96.00,0.72,59.51,363
96.00,0.72,58.83,363
96.00,0.72,58.61,363
96.00,0.72,58.44,363
96.00,0.72,55.35,363
96.00,0.72,48.77,363
96.00,0.72,42.08,363
96.00,0.72,38.01,363
96.00,0.72,36.65,363
96.00,0.72,36.48,363
96.00,0.72,35.81,363
96.00,0.72,35.32,363
96.00,0.72,37.12,363
96.00,0.72,39.52,363
96.00,0.72,39.38,363
96.00,0.72,37.66,363
96.00,0.72,34.24,363
96.00,0.72,30.66,363
96.00,0.72,28.32,363
96.00,0.72,28.50,363
96.00,0.72,28.10,363
96.00,0.72,26.45,363
96.00,0.72,26.60,363
96.00,0.72,29.14,363
96.00,0.72,30.99,363
96.00,0.72,32.35,363
96.00,0.72,32.52,363
96.00,0.72,33.46,363
96.00,0.72,33.61,363
96.00,0.72,31.82,363
96.00,0.72,30.79,363
96.00,0.72,30.58,363
96.00,0.72,31.50,363
96.00,0.72,32.72,363
96.00,0.72,33.87,363
96.00,0.72,35.53,363
96.00,0.72,37.28,363
96.00,0.72,37.74,363
96.00,0.72,35.92,363
96.00,0.72,34.59,363
96.00,0.72,33.89,363
96.00,0.72,32.84,363
96.00,0.72,30.99,363
96.00,0.72,29.10,363
96.00,0.72,28.81,363
96.00,0.72,29.67,363
96.00,0.72,30.84,363
96.00,0.72,32.77,363
96.00,0.72,34.73,363
96.00,0.72,37.23,363
96.00,0.72,38.52,363
96.00,0.72,39.46,363
96.00,0.72,40.15,363
96.00,0.72,39.30,363
96.00,0.72,37.87,363
96.00,0.72,36.28,363
96.00,0.72,35.39,363
96.00,0.72,35.56,363
96.00,0.72,35.68,363
96.00,0.72,34.41,363
96.00,0.72,34.30,363
96.00,0.72,35.30,363
96.00,0.72,35.76,363
96.00,0.72,35.01,363
96.00,0.72,33.66,363
96.00,0.72,33.75,363
96.00,0.72,35.44,363
96.00,0.72,36.40,363
96.00,0.72,34.67,363
96.00,0.72,31.79,363
96.00,0.72,31.58,363
96.00,0.72,33.31,363
96.00,0.72,34.85,363
96.00,0.72,35.70,363
96.00,0.72,36.05,363
96.00,0.72,37.66,363
96.00,0.72,39.64,363
96.00,0.72,39.74,363
96.00,0.72,37.65,363
96.00,0.72,36.12,363
96.00,0.72,35.55,363
96.00,0.72,35.67,363
96.00,0.72,36.57,363
96.00,0.72,38.04,363
96.00,0.72,39.11,363
96.00,0.72,40.43,363
96.00,0.72,40.58,363
96.00,0.72,39.89,363
96.00,0.72,39.92,363
96.00,0.72,39.13,363
96.00,0.72,38.55,363
96.00,0.72,37.86,363
96.00,0.72,35.47,363
96.00,0.72,31.29,363
96.00,0.72,30.94,363
96.00,0.72,33.39,363
96.00,0.72,36.53,363
96.00,0.72,37.73,363
96.00,0.72,35.37,363
96.00,0.72,32.03,363
96.00,0.72,31.48,363
96.00,0.72,33.24,363
96.00,0.72,36.69,363
96.00,0.72,39.75,363
96.00,0.72,40.08,363
96.00,0.72,38.98,363
96.00,0.72,38.45,363
96.00,0.72,38.87,363
96.00,0.72,40.79,363
96.00,0.72,43.82,363
96.00,0.72,46.03,363
96.00,0.72,46.02,363
96.00,0.72,44.40,363
96.00,0.72,42.13,363
96.00,0.72,39.39,363
96.00,0.72,36.85,363
96.00,0.72,35.00,363
96.00,0.72,34.46,363
96.00,0.72,35.69,363
