t,ecgI,ecgII,leadIII_f,aVR_f,aVL_f,aVF_f
0,53.4202028262954,26.2523484547351,-27.1678543715604,-39.8362756405152,40.2940285989279,-0.457752958412648
0.00214822771213749,68.3079902387956,61.5010339108975,-6.80695632789801,-64.9045120748466,37.5574732833468,27.3470387914998
0.00429645542427497,82.2365094301557,94.7876199919628,12.551110561807,-88.5120647110592,34.8426994341743,53.6693652768849
0.00644468313641246,94.2643855182762,124.480305910913,30.2159203926369,-109.372345714595,32.0242325628197,77.348113151775
0.00859291084854995,103.659313391726,149.607763698296,45.9484503065707,-126.633538545011,28.8554315425774,97.7781070024335
0.0107411385606874,110.023685893377,169.969907239199,59.9462213458222,-139.996796566288,25.0387322737773,114.958064292511
0.0128893662728249,113.365476673366,186.045203053148,72.6797263797813,-149.705339863257,20.3428751467925,129.362464716465
0.0150375939849624,114.080710488175,198.73998218957,84.6592717013953,-156.410346338872,14.7107193933897,141.699626945483
0.0171858216970999,112.849378403653,209.076174721782,96.2267963181296,-160.962776562718,8.31129104276165,152.651485519956
0.0193340494092374,110.481107004656,217.926106776354,107.444999771697,-164.203606890505,1.51805361647941,162.685553274025
0.0214822771213749,107.761507133757,225.872024245892,118.110517112135,-166.816765689825,-5.17450498918902,171.991270679014
0.0236305048335124,105.338797256166,233.207456762158,127.868659505993,-169.273127009162,-11.2649311249135,180.538058134076
0.0257787325456498,103.66234158771,240.03501854252,136.37267695481,-171.848680065115,-16.3551676835495,188.203847748665
0.0279269602577873,102.959195180137,246.381176259947,143.421981079809,-174.670185720042,-20.2313929498361,194.901578669878
0.0300751879699248,103.226202279373,252.258983655379,149.032781376006,-177.742592967376,-22.9032895483166,200.645882515693
0.0322234156820623,104.225760353438,257.655346126477,153.429585773038,-180.940553239958,-24.6019127098001,205.542465949758
0.0343716433941998,105.494057836026,262.471546278656,156.97748844263,-183.982802057341,-25.7417153033023,209.724517360643
0.0365198711063373,106.385128553793,266.475128797719,160.090000243926,-186.430128675756,-26.8524358450664,213.282564520823
0.0386680988184748,106.16839927457,269.313480560545,163.145081285975,-187.740939917557,-28.4883410057023,216.22928092326
0.0408163265306122,104.172648646402,270.602213859525,166.429565213122,-187.387431252963,-31.12845828336,218.515889536323
0.0429645542427497,99.9423437558899,270.058816743124,170.116472987234,-185.000580249507,-35.087064615672,220.087644865179
0.0451127819548872,93.361883633322,267.628085455894,174.266201822572,-180.494984544608,-40.4521590946249,220.947143639233
0.0472610096670247,84.7149667331825,263.549647388068,178.834680654885,-174.132307060625,-47.0598569608513,221.192164021476
0.0494092373791622,74.6686061084759,258.341589863787,183.672983755311,-166.505097986131,-54.5021888234174,221.007286809549
